Name,Null,Height,Longitude,Latitude,Climbed
Cairn Gorm,0,1244,-3.644428,57.116732,0
Cairn of Claise,0,1064,-3.338654,56.894178,0
Cairn Toul,0,1291,-3.710774,57.054406,0
Carn a'Chlamain,0,963,-3.779635,56.860974,0
Carn a'Choire Bhoidheach,0,1109.9,-3.272707,56.945773,0
Carn a'Gheoidh,0,975,-3.466617,56.873074,0
Carn a'Mhaim,0,1037,-3.658399,57.036853,0
Carn an Fhidhleir (Carn Ealar),0,994,-3.801645,56.935928,0
Carn an Righ,0,1029,-3.595272,56.876565,0
Carn an t-Sagairt Mor,0,1047,-3.303227,56.942973,0
Carn an Tuirc,0,1019,-3.357125,56.908283,0
Carn Aosda,0,917,-3.423209,56.895715,0
Carn Bhac,0,946,-3.560989,56.930809,0
Carn Dearg,0,1034,-4.454725,56.855241,0
Carn Dearg,0,945,-4.25323,57.09227,0
Carn Dearg,0,941,-4.589888,56.759931,0
Carn Eige (Carn Eighe),0,1183,-5.115126,57.287702,0
Carn Ghluasaid,0,957,-5.068174,57.16595,0
Carn Gorm,0,1029,-4.226037,56.622528,0
Carn Liath,0,1006,-4.515322,56.978793,0
Carn Mairg,0,1042,-4.145608,56.634626,0
Carn Mor Dearg,0,1220,-4.986615,56.805237,0
Carn na Caim,0,941,-4.17446,56.911712,0
Carn nan Gobhar,0,993,-5.024544,57.363304,0
Carn nan Gobhar,0,992,-4.879935,57.452331,0
Carn Sgulain,0,920.3,-4.176986,57.124371,0
Chno Dearg,0,1046,-4.660831,56.830086,0
Ciste Dhubh,0,979,-5.209015,57.199234,0
Cona' Mheall,0,978,-4.903366,57.79106,0
Conival,0,987,-4.883498,58.135698,0
Creag a'Mhaim,0,946,-5.160047,57.120962,0
Creag Leacach,0,987,-3.387784,56.85464,0
Creag Meagaidh,0,1128,-4.602085,56.952042,0
Creag Mhor,0,1047,-4.614038,56.48951,0
Creag nan Damh,0,918,-5.334597,57.147263,0
Creag Pitridh,0,924,-4.484955,56.899713,0
Creise,0,1099.8,-4.871979,56.614449,0
Cruach Ardrain,0,1046,-4.576151,56.356429,0
Derry Cairngorm,0,1155,-3.622004,57.062801,0
Driesh,0,947,-3.196523,56.848003,0
Druim Shionnach,0,987,-5.182857,57.126785,0
Eididh nan Clach Geala,0,927,-4.934184,57.813483,0
Fionn Bheinn,0,933,-5.102713,57.611148,0
Gairich,0,919,-5.255827,57.044879,0
